budget,genres,keywords,overview,release_date,tagline,title,cast,director
10000000,Action Adventure Comedy Western,gunslinger gun,"The story of three Korean outlaws in 1930s Manchuria and their dealings with the Japanese army and Chinese and Russian bandits. The Good (a Bounty hunter), the Bad (a hitman), and the Weird (a thief) battle the army and the bandits in a race to use a treasure map to uncover the riches of legend.",7/16/2008,A Fistful of Fun!,"The Good, The Bad, The Weird",Song Kang-ho Lee Byung-hun Jung Woo-sung Yoon Je-moon Song Young-chang,Kim Jee-woon
10,Horror Thriller,nurse sexual murder revenge lesbian relationship dark comedy,"Abby Russell, a beautiful, dedicated nurse with a sinister side, has a secret life in which she targets and punishes dishonest men.",9/28/2013,Your pain is her pleasure.,Nurse 3-D,Paz de la Huerta Katrina Bowden Kathleen Turner Judd Nelson Boris Kodjoe,Douglas Aarniokoski
10000000,Drama Action Comedy Western,gunslinger bounty hunter blacksmith duel wild west,"A quiet and peaceful community in the Dominion of Canada is shaken up by the arrival of a wounded and stinky gun-toting American cowboy, simply known as The Montana Kid, wanted for the alleged killing of seven men. A subsequent clarification reveals that his real name is Sean Rafferty, and he admits to killing, not seven, but eleven men. Things only get worse after Sean gets in the bad books of the local militia, and with armed bounty hunters hot on his trail, challenges the local unarmed blacksmith, Jack Smith, to a duel - wild west style! Written by rAjOo",4/30/2010,Fastest draw in the North... kinda.,Gunless,Sienna Guillory Tyler Mane Callum Keith Rennie Dustin Milligan Graham Greene,William Phillips
9500000,Comedy,comedy cheating on partner amusement park summer job carny,"In the summer of 1987, a college graduate takes a 'nowhere' job at his local amusement park, only to find it's the perfect course to get him prepared for the real world.",4/3/2009,Nothing brings people together like a crappy summer job.,Adventureland,Jesse Eisenberg Kristen Stewart Martin Starr Kristen Wiig Bill Hader,Greg Mottola
9600000,Drama Romance,cuba fidel castro che guevara,"In Havana, Cuba in the late 1950's, a wealthy family, one of whose sons is a prominent nightclub owner, is caught in the violent transition from the oppressive regime of Batista to the Marxist government of Fidel Castro. Castro's regime ultimately leads the nightclub owner to flee to New York.",9/3/2005,,The Lost City,Andy Garc\u00eda Richard Bradford Nestor Carbonell Enrique Murciano Dominik Garc\u00eda-Lorido,Andy Garc\u00eda
11000000,Comedy,prison repayment gang war boy gang revenge,"Ice Cube returns as Craig Jones, a streetwise man from South Central Los Angeles who has a knack for getting into trouble. This time out, Craig is still trying to outsmart neighborhood bully Debo (Tommy ""Tiny"" Lister Jr.); after Craig gets the better of Debo in a fist fight, Debo is determined to flatten Craig in a rematch. Looking to stay out of Debo's way, Craig's dad decides that it would be a good idea for Craig to hide out with his Uncle Elroy and cousin Day-Day in Rancho Cucamonga... but trouble seems to find him there also.",1/12/2000,The suburbs make the hood look good.,Next Friday,Ice Cube Mike Epps Justin Pierce John Witherspoon Don Curry,Steve Carr
10000000,Action,brother brother relationship robbery bank,"Two brothers, both with troubled paths, find themselves in the middle of one last bank job.",9/11/2014,Brothers in arms for life.,American Heist,Hayden Christensen Adrien Brody Jordana Brewster Akon Laura Cayouette,Sarik Andreasyan
9500000,Action Thriller Adventure,london england japan england assassination helicopter,A mysterious space craft kidnaps a Russian and American space capsule and brings the world on the verge of another World War. James Bond investigates the case in Japan and meets with his archenemy Blofeld. The fifth film from the legendary James Bond series starring Sean Connery as the British super agent.,6/12/1967,You Only Live Twice...and Twice is the only way to live!,You Only Live Twice,Sean Connery Akiko Wakabayashi Karin Dor Mie Hama Tetsur\u014d Tamba,Lewis Gilbert
10,Drama Action Comedy Crime,,"Sam &amp; Fordy run a credit card fraud scheme, but when they steal from the wrong man, they find themselves threatened by sadistic gangster. They need to raise £5m and pull off a daring diamond heist to clear their debt.",4/30/2014,HUSTLE. HEIST. REPEAT.,Plastic,Ed Speleers Will Poulter Alfie Allen Sebastian de Souza Emma Rigby,Julian Gilbey
8900000,Drama Romance,nurse music teacher aging daughter music,"Georges and Anne are in their eighties. They are cultivated, retired music teachers. Their daughter, who is also a musician, lives abroad with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",7/1/2012,,Amour,Emmanuelle Riva Jean-Louis Trintignant Isabelle Huppert William Shimell Rita Blanco,Michael Haneke
10500000,Horror Thriller,chicago religion and supernatural supernatural powers devil demon,"Carol Anne has been sent to live with her Aunt and Uncle in an effort to hide her from the clutches of the ghostly Reverend Kane, but he tracks her down and terrorises her in her relatives' appartment in a tall glass building. Will he finally achieve his target and capture Carol Anne again, or will Tangina be able, yet again, to thwart him?",6/10/1988,He's found her.,Poltergeist III,Tom Skerritt Nancy Allen Heather O'Rourke Lara Flynn Boyle Kipley Wentz,Gary Sherman
9500000,Horror Science Fiction,reality tv conspiracy zombie zombie apocalypse,"Five years after a zombie outbreak, the men and women of R-Division hunt down and destroy the undead. When they see signs of a second outbreak, they fear humanity may not survive.",10/16/2015,We are the endangered species.,Re-Kill,Roger Cross Scott Adkins Daniella Alonso Bruce Payne Jesse Garcia,Valeri Milev
9400000,Action Adventure Comedy Crime,competition prison california chase humor,"A group of strangers come across a man dying after a car crash who proceeds to tell them about the $350,000 he buried in California. What follows is the madcap adventures of those strangers as each attempts to claim the prize for himself.",11/7/1963,The biggest entertainment ever to rock the screen with laughter!,"It's a Mad, Mad, Mad, Mad World",Spencer Tracy Milton Berle Sid Caesar Buddy Hackett Mickey Rooney,Stanley Kramer
12899867,Comedy Drama Romance,child abuse rape fire sexual abuse madrid,"Raimunda (Penélope Cruz) works and lives Madrid with her husband Paco and daughter Paula. Her sister Sole (Lola Dueñas) lives nearby and they both miss their mother Irene (Carmen Maura), who died several years ago in a house fire along with their father. A former neighbor from their hometown reports that she has seen the ghost of Irene and both daughters do not believe her. After a murder and a family tragedy, Irene's spirit materializes around her daughters to help comfort them.",3/16/2006,Return.,Volver,Pen\u00e9lope Cruz Carmen Maura Lola Due\u00f1as Blanca Portillo Yohana Cobo,Pedro Almod\u00f3var
9300000,Animation Science Fiction,flying car taxi heavy metal cult favorite midnight movie,"A glowing orb terrorizes a young girl with a collection of stories of dark fantasy, eroticism and horror.",8/7/1981,A Step Beyond Science Fiction,Heavy Metal,Rodger Bumpass Jackie Burroughs Joe Flaherty Harold Ramis John Candy,Gerald Potterton
10000000,Action Comedy Thriller,writing plagiarism independent film homeschooling aftercreditsstinger,A teenager attends a fantasy writers' convention where he discovers his idea has been stolen by an established novelist.,9/30/2009,"Oinus, Ainous, Anous, Odious.",Gentlemen Broncos,Michael Angarano Sam Rockwell Clive Revill Jemaine Clement Jennifer Coolidge,Jared Hess
0,Drama War,england shakespeare kidnapping murder king,Shakespeare's Play transplanted into a 1930s setting.,12/29/1995,"I can smile, and murder while I smile",Richard III,Ian McKellen Annette Bening Jim Broadbent Kristin Scott Thomas Adrian Dunbar,Richard Loncraine
10000000,Action Horror Thriller,grizzly bear wilderness forest alaska survival,Two estranged brothers reunite at their childhood home in the Alaskan wild. They set out on a two-day hike and are stalked by an unrelenting grizzly bear.,2/27/2015,Hunt or be hunted.,Into the Grizzly Maze,James Marsden Thomas Jane Piper Perabo Scott Glenn Michaela McManus,David Hackl
0,Drama Action Romance,,"In the harsh terrain of the Mexican desert, a mortally wounded man is left for dead in the heat of the desert sun. This is Jay. Once a street smart, carefree young guy. Now, a wanted man. As death looms, the only thing that keeps him alive is the quest to find the love of his life, Natasha. A woman betrothed to another man, but surely destined for Jay. A woman who comes into his life like a bolt of lightning and changes it forever.",5/21/2010,,Kites,Hrithik Roshan B\u00e1rbara Mori Kabir Bedi Kangana Ranaut Nicholas Brown,Anurag Basu
7400000,Drama Science Fiction,wedding reception power outage destruction of planet wedding toast,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,5/26/2011,Enjoy it while it lasts,Melancholia,Kirsten Dunst Charlotte Gainsbourg Kiefer Sutherland Charlotte Rampling John Hurt,Lars von Trier
0,Drama Comedy Family,1970s human animal relationship australia grief search,Based on the legendary true story of the Red Dog who united a disparate local community while roaming the Australian outback in search of his long lost master.,8/4/2011,He's Been Everywhere Mate.,Red Dog,Josh Lucas Rachael Taylor Rohan Nichol Luke Ford Arthur Angel,Kriv Stenders
0,Drama Romance,bollywood fall in love,"An ex-army man, leading a double life in London, must choose between his wife and muse.  Jab Tak Hai Jaan movie is a love triangle,and also marks the return of Yash Chopra as a director after eight years.  In Jab Tak Hai Jaan, Shahrukh Khan plays the character of Samar who is an angry, unforgiving, with loads of emotional baggage. His role will span two ages, one in his late twenties as a musician based in London and the other at an older age as an introverted, composed, dutiful army officer in Kashmir.  Katrina as Meera play as a seductress, an unattainable beauty. And Anushka as Akira who is 21 year old and works for Discovery Channel and makes documentaries.",11/13/2012,,Jab Tak Hai Jaan,Shah Rukh Khan Katrina Kaif Anushka Sharma Anupam Kher Bindal Parikh,Yash Chopra
11000000,Horror Action Thriller Science Fiction,android countdown space marine space suit beheading,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",5/25/1979,In space no one can hear you scream.,Alien,Tom Skerritt Sigourney Weaver Veronica Cartwright Harry Dean Stanton John Hurt,Ridley Scott
85000,Horror,gas station texas van gore midnight movie,Five friends visiting their grandfather's house in the country are hunted and terrorized by a chain-saw wielding killer and his family of grave-robbing cannibals.,10/1/1974,Who will survive and what will be left of them?,The Texas Chain Saw Massacre,Marilyn Burns Allen Danziger Paul A. Partain William Vail Teri McMinn,Tobe Hooper
